Date,Open,High,Low,Close,Adj Close,Volume
1991-09-30,6.786900,6.786900,6.786900,6.786900,1.963599,0
1991-10-01,null,null,null,null,null,null
1991-10-02,null,null,null,null,null,null
1991-10-03,null,null,null,null,null,null
1991-10-04,null,null,null,null,null,null
1991-10-07,null,null,null,null,null,null
1991-10-08,null,null,null,null,null,null
1991-10-09,null,null,null,null,null,null
1991-10-10,null,null,null,null,null,null
1991-10-11,null,null,null,null,null,null
1991-10-14,null,null,null,null,null,null
1991-10-15,null,null,null,null,null,null
1991-10-16,null,null,null,null,null,null
1991-10-17,null,null,null,null,null,null
1991-10-18,null,null,null,null,null,null
1991-10-21,null,null,null,null,null,null
1991-10-22,null,null,null,null,null,null
1991-10-23,null,null,null,null,null,null
1991-10-24,null,null,null,null,null,null
1991-10-25,null,null,null,null,null,null
1991-10-28,null,null,null,null,null,null
1991-10-29,null,null,null,null,null,null
1991-10-30,null,null,null,null,null,null
1991-10-31,7.507630,7.507630,7.507630,7.507630,2.172123,0
1991-11-01,null,null,null,null,null,null
1991-11-04,null,null,null,null,null,null
1991-11-05,null,null,null,null,null,null
1991-11-06,null,null,null,null,null,null
1991-11-07,null,null,null,null,null,null
1991-11-08,null,null,null,null,null,null
1991-11-11,null,null,null,null,null,null
1991-11-12,null,null,null,null,null,null
1991-11-13,null,null,null,null,null,null
1991-11-14,null,null,null,null,null,null
1991-11-15,null,null,null,null,null,null
1991-11-18,null,null,null,null,null,null
1991-11-19,null,null,null,null,null,null
1991-11-20,null,null,null,null,null,null
1991-11-21,null,null,null,null,null,null
1991-11-22,null,null,null,null,null,null
1991-11-25,null,null,null,null,null,null
1991-11-26,null,null,null,null,null,null
1991-11-27,null,null,null,null,null,null
1991-11-28,null,null,null,null,null,null
1991-11-29,7.407530,7.407530,7.407530,7.407530,2.143161,0
1991-12-02,null,null,null,null,null,null
1991-12-03,null,null,null,null,null,null
1991-12-04,null,null,null,null,null,null
1991-12-05,null,null,null,null,null,null
1991-12-06,null,null,null,null,null,null
1991-12-09,null,null,null,null,null,null
1991-12-10,null,null,null,null,null,null
1991-12-11,null,null,null,null,null,null
1991-12-12,null,null,null,null,null,null
1991-12-13,null,null,null,null,null,null
1991-12-16,null,null,null,null,null,null
1991-12-17,null,null,null,null,null,null
1991-12-18,null,null,null,null,null,null
1991-12-19,null,null,null,null,null,null
1991-12-20,null,null,null,null,null,null
1991-12-23,null,null,null,null,null,null
1991-12-24,null,null,null,null,null,null
1991-12-25,null,null,null,null,null,null
1991-12-26,null,null,null,null,null,null
1991-12-27,null,null,null,null,null,null
1991-12-30,null,null,null,null,null,null
1991-12-31,7.868000,7.868000,7.868000,7.868000,2.276386,0
1992-01-01,null,null,null,null,null,null
1992-01-02,null,null,null,null,null,null
1992-01-03,null,null,null,null,null,null
1992-01-06,null,null,null,null,null,null
1992-01-07,null,null,null,null,null,null
1992-01-08,null,null,null,null,null,null
1992-01-09,null,null,null,null,null,null
1992-01-10,null,null,null,null,null,null
1992-01-13,null,null,null,null,null,null
1992-01-14,null,null,null,null,null,null
1992-01-15,null,null,null,null,null,null
1992-01-16,null,null,null,null,null,null
1992-01-17,null,null,null,null,null,null
1992-01-20,null,null,null,null,null,null
1992-01-21,null,null,null,null,null,null
1992-01-22,null,null,null,null,null,null
1992-01-23,null,null,null,null,null,null
1992-01-24,null,null,null,null,null,null
1992-01-27,null,null,null,null,null,null
1992-01-28,null,null,null,null,null,null
1992-01-29,null,null,null,null,null,null
1992-01-30,null,null,null,null,null,null
1992-01-31,7.327450,7.327450,7.327450,7.327450,2.119992,0
1992-02-03,null,null,null,null,null,null
1992-02-04,null,null,null,null,null,null
1992-02-05,null,null,null,null,null,null
1992-02-06,null,null,null,null,null,null
1992-02-07,null,null,null,null,null,null
1992-02-10,null,null,null,null,null,null
1992-02-11,null,null,null,null,null,null
1992-02-12,null,null,null,null,null,null
1992-02-13,null,null,null,null,null,null
1992-02-14,null,null,null,null,null,null
1992-02-17,null,null,null,null,null,null
1992-02-18,null,null,null,null,null,null
1992-02-19,null,null,null,null,null,null
1992-02-20,null,null,null,null,null,null
1992-02-21,null,null,null,null,null,null
1992-02-24,null,null,null,null,null,null
1992-02-25,null,null,null,null,null,null
1992-02-26,null,null,null,null,null,null
1992-02-27,null,null,null,null,null,null
1992-02-28,7.447570,7.447570,7.447570,7.447570,2.154746,0
1992-03-02,null,null,null,null,null,null
1992-03-03,null,null,null,null,null,null
1992-03-04,null,null,null,null,null,null
1992-03-05,null,null,null,null,null,null
1992-03-06,null,null,null,null,null,null
1992-03-09,null,null,null,null,null,null
1992-03-10,null,null,null,null,null,null
1992-03-11,null,null,null,null,null,null
1992-03-12,null,null,null,null,null,null
1992-03-13,null,null,null,null,null,null
1992-03-16,null,null,null,null,null,null
1992-03-17,null,null,null,null,null,null
1992-03-18,null,null,null,null,null,null
1992-03-19,null,null,null,null,null,null
1992-03-20,null,null,null,null,null,null
1992-03-23,null,null,null,null,null,null
1992-03-24,null,null,null,null,null,null
1992-03-25,null,null,null,null,null,null
1992-03-26,null,null,null,null,null,null
1992-03-27,null,null,null,null,null,null
1992-03-30,null,null,null,null,null,null
1992-03-31,7.357480,7.357480,7.357480,7.357480,2.128681,0
1992-04-01,null,null,null,null,null,null
1992-04-02,null,null,null,null,null,null
1992-04-03,null,null,null,null,null,null
1992-04-06,null,null,null,null,null,null
1992-04-07,null,null,null,null,null,null
1992-04-08,null,null,null,null,null,null
1992-04-09,null,null,null,null,null,null
1992-04-10,null,null,null,null,null,null
1992-04-13,null,null,null,null,null,null
1992-04-14,null,null,null,null,null,null
1992-04-15,null,null,null,null,null,null
1992-04-16,null,null,null,null,null,null
1992-04-17,null,null,null,null,null,null
1992-04-20,null,null,null,null,null,null
1992-04-21,null,null,null,null,null,null
1992-04-22,null,null,null,null,null,null
1992-04-23,null,null,null,null,null,null
1992-04-24,null,null,null,null,null,null
1992-04-27,null,null,null,null,null,null
1992-04-28,null,null,null,null,null,null
1992-04-29,null,null,null,null,null,null
1992-04-30,7.567690,7.567690,7.567690,7.567690,2.189499,0
1992-05-01,null,null,null,null,null,null
1992-05-04,null,null,null,null,null,null
1992-05-05,null,null,null,null,null,null
1992-05-06,null,null,null,null,null,null
1992-05-07,null,null,null,null,null,null
1992-05-08,null,null,null,null,null,null
1992-05-11,null,null,null,null,null,null
1992-05-12,null,null,null,null,null,null
1992-05-13,null,null,null,null,null,null
1992-05-14,null,null,null,null,null,null
1992-05-15,null,null,null,null,null,null
1992-05-18,null,null,null,null,null,null
1992-05-19,null,null,null,null,null,null
1992-05-20,null,null,null,null,null,null
1992-05-21,null,null,null,null,null,null
1992-05-22,null,null,null,null,null,null
1992-05-25,null,null,null,null,null,null
1992-05-26,null,null,null,null,null,null
1992-05-27,null,null,null,null,null,null
1992-05-28,null,null,null,null,null,null
1992-05-29,7.687820,7.687820,7.687820,7.687820,2.224255,0
1992-06-01,null,null,null,null,null,null
1992-06-02,null,null,null,null,null,null
1992-06-03,null,null,null,null,null,null
1992-06-04,null,null,null,null,null,null
1992-06-05,null,null,null,null,null,null
1992-06-08,null,null,null,null,null,null
1992-06-09,null,null,null,null,null,null
1992-06-10,null,null,null,null,null,null
1992-06-11,null,null,null,null,null,null
1992-06-12,null,null,null,null,null,null
1992-06-15,null,null,null,null,null,null
1992-06-16,null,null,null,null,null,null
1992-06-17,null,null,null,null,null,null
1992-06-18,null,null,null,null,null,null
1992-06-19,null,null,null,null,null,null
1992-06-22,null,null,null,null,null,null
1992-06-23,null,null,null,null,null,null
1992-06-24,null,null,null,null,null,null
1992-06-25,null,null,null,null,null,null
1992-06-26,null,null,null,null,null,null
1992-06-29,null,null,null,null,null,null
1992-06-30,7.167290,7.167290,7.167290,7.167290,2.073655,0
1992-07-01,null,null,null,null,null,null
1992-07-02,null,null,null,null,null,null
